study_accession,accession,condition,run,fq1,fq2
GSE156171,GSM4725989,BCC,SRR12446390,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446390_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446390_2.fastq
GSE156171,GSM4725990,BCC,SRR12446391,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446391_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446391_2.fastq
GSE156171,GSM4725991,BCC,SRR12446392,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446392_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446392_2.fastq
GSE156171,GSM4725992,BCC,SRR12446393,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446393_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446393_2.fastq
GSE156171,GSM4725993,BCC,SRR12446394,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446394_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR12446394_2.fastq
GSE58375,GSM1409334,NS,SRR1374334,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374334_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374334_2.fastq
GSE58375,GSM1409335,NS,SRR1374335,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374335_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374335_2.fastq
GSE58375,GSM1409336,NS,SRR1374336,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374336_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374336_2.fastq
GSE58375,GSM1409337,NS,SRR1374337,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374337_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374337_2.fastq
GSE58375,GSM1409338,NS,SRR1374338,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374338_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374338_2.fastq
GSE58375,GSM1409339,NS,SRR1374339,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374339_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374339_2.fastq
GSE58375,GSM1409340,NS,SRR1374340,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374340_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374340_2.fastq
GSE58375,GSM1409341,NS,SRR1374341,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374341_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374341_2.fastq
GSE58375,GSM1409342,BCC,SRR1374342,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374342_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374342_2.fastq
GSE58375,GSM1409343,BCC,SRR1374343,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374343_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374343_2.fastq
GSE58375,GSM1409344,BCC,SRR1374344,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374344_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374344_2.fastq
GSE58375,GSM1409345,BCC,SRR1374345,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374345_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374345_2.fastq
GSE58375,GSM1409346,BCC,SRR1374346,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374346_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374346_2.fastq
GSE58375,GSM1409347,BCC,SRR1374347,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374347_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374347_2.fastq
GSE58375,GSM1409348,BCC,SRR1374348,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374348_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374348_2.fastq
GSE58375,GSM1409349,BCC,SRR1374349,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374349_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374349_2.fastq
GSE58375,GSM1409350,BCC,SRR1374350,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374350_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374350_2.fastq
GSE58375,GSM1409351,BCC,SRR1374351,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374351_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374351_2.fastq
GSE58375,GSM1409352,BCC,SRR1374352,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374352_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374352_2.fastq
GSE58375,GSM1409353,BCC,SRR1374353,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374353_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374353_2.fastq
GSE58375,GSM1409354,BCC,SRR1374354,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374354_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR1374354_2.fastq
GSE84293,GSM2231157,AK,SRR3877297,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877297_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877297_2.fastq
GSE84293,GSM2231158,NS,SRR3877298,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877298_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877298_2.fastq
GSE84293,GSM2231159,AK,SRR3877299,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877299_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877299_2.fastq
GSE84293,GSM2231160,SCC,SRR3877300,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877300_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877300_2.fastq
GSE84293,GSM2231161,NS,SRR3877301,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877301_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877301_2.fastq
GSE84293,GSM2231162,AK,SRR3877302,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877302_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877302_2.fastq
GSE84293,GSM2231163,SCC,SRR3877303,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877303_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877303_2.fastq
GSE84293,GSM2231164,NS,SRR3877304,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877304_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877304_2.fastq
GSE84293,GSM2231165,AK,SRR3877305,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877305_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877305_2.fastq
GSE84293,GSM2231166,AK,SRR3877306,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877306_1.fastq,/scratch/users/tbencomo/nmsc-data/fastq/SRR3877306_2.fastq
